# mach l_inj l_dis alpha cost cost_sigma sigma_0 sigma_1 sigma_2 sigma_3 sigma_4 sigma_5
0.33762499999999995 1.0 0.001 -3.6666666666666665 31.24768727389249 19.760781994720162 252.976520396176 252.976520396176 252.976520396176 252.976520396176 252.976520396176 252.976520396176
0.347375 1.0 0.001 -3.6666666666666665 33.29930238794899 23.260444203857062 260.2820252428631 260.2820252428631 260.2820252428631 260.2820252428631 260.2820252428631 260.2820252428631
0.357125 1.0 0.001 -3.6666666666666665 35.84056140564382 27.056046211709877 267.58753008955017 267.58753008955017 267.58753008955017 267.58753008955017 267.58753008955017 267.58753008955017
0.36687499999999995 1.0 0.001 -3.6666666666666665 38.813706381829405 31.11799770860828 274.8930349362372 274.8930349362372 274.8930349362372 274.8930349362372 274.8930349362372 274.8930349362372
0.376625 1.0 0.001 -3.6666666666666665 42.16736005617712 35.4185753770171 282.19853978292423 282.19853978292423 282.19853978292423 282.19853978292423 282.19853978292423 282.19853978292423
0.386375 1.0 0.001 -3.6666666666666665 45.855682253427474 39.93187310432097 289.50404462961137 289.50404462961137 289.50404462961137 289.50404462961137 289.50404462961137 289.50404462961137
0.39612499999999995 1.0 0.001 -3.6666666666666665 49.837668228399174 44.633742103565254 296.80954947629823 296.80954947629823 296.80954947629823 296.80954947629823 296.80954947629823 296.80954947629823
0.405875 1.0 0.001 -3.6666666666666665 54.076560014825965 49.50172345046952 304.1150543229853 304.1150543229853 304.1150543229853 304.1150543229853 304.1150543229853 304.1150543229853
0.415625 1.0 0.001 -3.6666666666666665 58.53934845263025 54.51497519176064 311.42055916967246 311.42055916967246 311.42055916967246 311.42055916967246 311.42055916967246 311.42055916967246
0.42537499999999995 1.0 0.001 -3.6666666666666665 63.19634857152391 59.65419585571174 318.72606401635943 318.72606401635943 318.72606401635943 318.72606401635943 318.72606401635943 318.72606401635943
0.435125 1.0 0.001 -3.6666666666666665 68.02083480946212 64.90154590243583 326.0315688630466 326.0315688630466 326.0315688630466 326.0315688630466 326.0315688630466 326.0315688630466
0.444875 1.0 0.001 -3.6666666666666665 72.98872544448207 70.24056838930696 333.33707370973366 333.33707370973366 333.33707370973366 333.33707370973366 333.33707370973366 333.33707370973366
0.45462499999999995 1.0 0.001 -3.6666666666666665 78.0783078413682 75.65610989513877 340.64257855642063 340.64257855642063 340.64257855642063 340.64257855642063 340.64257855642063 340.64257855642063
0.464375 1.0 0.001 -3.6666666666666665 83.26999782649172 81.13424254397894 347.9480834031077 347.9480834031077 347.9480834031077 347.9480834031077 347.9480834031077 347.9480834031077
0.474125 1.0 0.001 -3.6666666666666665 88.54612782897864 86.66218779365602 355.2535882497948 355.2535882497948 355.2535882497948 355.2535882497948 355.2535882497948 355.2535882497948
0.48387499999999994 1.0 0.001 -3.6666666666666665 93.89075945680564 92.2282425033276 362.5590930964817 362.5590930964817 362.5590930964817 362.5590930964817 362.5590930964817 362.5590930964817
0.493625 1.0 0.001 -3.6666666666666665 99.2895169821761 97.82170766587508 369.86459794316886 369.86459794316886 369.86459794316886 369.86459794316886 369.86459794316886 369.86459794316886
0.503375 1.0 0.001 -3.6666666666666665 104.7294388441139 103.43282008271348 377.17010278985606 377.17010278985606 377.17010278985606 377.17010278985606 377.17010278985606 377.17010278985606
0.513125 1.0 0.001 -3.6666666666666665 110.19884477735825 109.05268716814058 384.47560763654303 384.47560763654303 384.47560763654303 384.47560763654303 384.47560763654303 384.47560763654303
0.522875 1.0 0.001 -3.6666666666666665 115.68721657547425 114.67322499553376 391.78111248323006 391.78111248323006 391.78111248323006 391.78111248323006 391.78111248323006 391.78111248323006
0.532625 1.0 0.001 -3.6666666666666665 121.18509081557403 120.28709963649916 399.0866173299171 399.0866173299171 399.0866173299171 399.0866173299171 399.0866173299171 399.0866173299171
0.542375 1.0 0.001 -3.6666666666666665 126.6839621296928 125.88767179461928 406.3921221766041 406.3921221766041 406.3921221766041 406.3921221766041 406.3921221766041 406.3921221766041
0.552125 1.0 0.001 -3.6666666666666665 132.17619581710264 131.46894469603498 413.6976270232912 413.6976270232912 413.6976270232912 413.6976270232912 413.6976270232912 413.6976270232912
0.5618750000000001 1.0 0.001 -3.6666666666666665 137.6557984515008 137.02551516824252 421.00313186997835 421.00313186997835 421.00313186997835 421.00313186997835 421.00313186997835 421.00313186997835
0.571625 1.0 0.001 -3.6666666666666665 143.11932888838905 142.55252781484936 428.3086367166654 428.3086367166654 428.3086367166654 428.3086367166654 428.3086367166654 428.3086367166654
0.581375 1.0 0.001 -3.6666666666666665 148.5611184128809 148.04563217643167 435.61414156335235 435.61414156335235 435.61414156335235 435.61414156335235 435.61414156335235 435.61414156335235
0.5911250000000001 1.0 0.001 -3.6666666666666665 153.9758904583761 153.50094275507132 442.91964641003943 442.91964641003943 442.91964641003943 442.91964641003943 442.91964641003943 442.91964641003943
0.600875 1.0 0.001 -3.6666666666666665 159.35895315142946 158.91500177171739 450.22515125672635 450.22515125672635 450.22515125672635 450.22515125672635 450.22515125672635 450.22515125672635
0.610625 1.0 0.001 -3.6666666666666665 164.70614594196329 164.28474452047834 457.53065610341343 457.53065610341343 457.53065610341343 457.53065610341343 457.53065610341343 457.53065610341343
0.6203750000000001 1.0 0.001 -3.6666666666666665 170.0138404329443 169.60746718164293 464.83616095010063 464.83616095010063 464.83616095010063 464.83616095010063 464.83616095010063 464.83616095010063
0.630125 1.0 0.001 -3.6666666666666665 175.28118938934753 174.88079695511192 472.14166579678766 472.14166579678766 472.14166579678766 472.14166579678766 472.14166579678766 472.14166579678766
0.639875 1.0 0.001 -3.6666666666666665 180.50628765896622 180.1026643775337 479.4471706434747 479.4471706434747 479.4471706434747 479.4471706434747 479.4471706434747 479.4471706434747
0.6496250000000001 1.0 0.001 -3.6666666666666665 185.68617392369262 185.27127768937947 486.75267549016183 486.75267549016183 486.75267549016183 486.75267549016183 486.75267549016183 486.75267549016183
0.659375 1.0 0.001 -3.6666666666666665 190.81827563724656 190.38509912215622 494.0581803368488 494.0581803368488 494.0581803368488 494.0581803368488 494.0581803368488 494.0581803368488
0.669125 1.0 0.001 -3.6666666666666665 195.90037105217257 195.4428229806618 501.3636851835358 501.3636851835358 501.3636851835358 501.3636851835358 501.3636851835358 501.3636851835358
0.6788750000000001 1.0 0.001 -3.6666666666666665 200.93055495622295 200.4433554004141 508.669190030223 508.669190030223 508.669190030223 508.669190030223 508.669190030223 508.669190030223
0.688625 1.0 0.001 -3.6666666666666665 205.90720772803053 205.38579566596474 515.9746948769099 515.9746948769099 515.9746948769099 515.9746948769099 515.9746948769099 515.9746948769099
0.698375 1.0 0.001 -3.6666666666666665 210.82896736774444 210.26941898158748 523.280199723597 523.280199723597 523.280199723597 523.280199723597 523.280199723597 523.280199723597
0.7081250000000001 1.0 0.001 -3.6666666666666665 215.6947041979602 215.09366059168212 530.5857045702841 530.5857045702841 530.5857045702841 530.5857045702841 530.5857045702841 530.5857045702841
0.717875 1.0 0.001 -3.6666666666666665 220.50349796478082 219.85810115410015 537.8912094169712 537.8912094169712 537.8912094169712 537.8912094169712 537.8912094169712 537.8912094169712
0.727625 1.0 0.001 -3.6666666666666665 225.25461709891528 224.56245327535507 545.1967142636581 545.1967142636581 545.1967142636581 545.1967142636581 545.1967142636581 545.1967142636581
0.7373750000000001 1.0 0.001 -3.6666666666666665 229.94749992304585 229.20654912232723 552.5022191103453 552.5022191103453 552.5022191103453 552.5022191103453 552.5022191103453 552.5022191103453
0.747125 1.0 0.001 -3.6666666666666665 234.58173761476826 233.79032903052314 559.8077239570323 559.8077239570323 559.8077239570323 559.8077239570323 559.8077239570323 559.8077239570323
0.756875 1.0 0.001 -3.6666666666666665 239.1570587547106 238.3138310342046 567.1132288037192 567.1132288037192 567.1132288037192 567.1132288037192 567.1132288037192 567.1132288037192
0.7666250000000001 1.0 0.001 -3.6666666666666665 243.67331530732633 242.7771812487249 574.4187336504065 574.4187336504065 574.4187336504065 574.4187336504065 574.4187336504065 574.4187336504065
0.776375 1.0 0.001 -3.6666666666666665 248.13046989766414 247.1805850401878 581.7242384970934 581.7242384970934 581.7242384970934 581.7242384970934 581.7242384970934 581.7242384970934
0.786125 1.0 0.001 -3.6666666666666665 252.52858426142342 251.52431892208907 589.0297433437804 589.0297433437804 589.0297433437804 589.0297433437804 589.0297433437804 589.0297433437804
0.7958750000000001 1.0 0.001 -3.6666666666666665 256.86780875801384 255.80872312287084 596.3352481904676 596.3352481904676 596.3352481904676 596.3352481904676 596.3352481904676 596.3352481904676
0.805625 1.0 0.001 -3.6666666666666665 261.14837284738854 260.03419477236315 603.6407530371547 603.6407530371547 603.6407530371547 603.6407530371547 603.6407530371547 603.6407530371547
0.815375 1.0 0.001 -3.6666666666666665 265.3705764412512 264.2011816588746 610.9462578838417 610.9462578838417 610.9462578838417 610.9462578838417 610.9462578838417 610.9462578838417
0.8251250000000001 1.0 0.001 -3.6666666666666665 269.53478204800797 268.3101765122418 618.2517627305288 618.2517627305288 618.2517627305288 618.2517627305288 618.2517627305288 618.2517627305288
0.834875 1.0 0.001 -3.6666666666666665 273.6414076386772 272.3617117714739 625.5572675772157 625.5572675772157 625.5572675772157 625.5572675772157 625.5572675772157 625.5572675772157
0.844625 1.0 0.001 -3.6666666666666665 277.69092016798265 276.35635479872417 632.8627724239027 632.8627724239027 632.8627724239027 632.8627724239027 632.8627724239027 632.8627724239027
0.8543750000000001 1.0 0.001 -3.6666666666666665 281.68382969114026 280.2947035042131 640.1682772705899 640.1682772705899 640.1682772705899 640.1682772705899 640.1682772705899 640.1682772705899
0.864125 1.0 0.001 -3.6666666666666665 285.6206840224914 284.1773823494139 647.4737821172769 647.4737821172769 647.4737821172769 647.4737821172769 647.4737821172769 647.4737821172769
0.873875 1.0 0.001 -3.6666666666666665 289.50206388719977 288.00503869831397 654.779286963964 654.779286963964 654.779286963964 654.779286963964 654.779286963964 654.779286963964
0.8836250000000001 1.0 0.001 -3.6666666666666665 293.3285785217884 291.7783394888817 662.0847918106512 662.0847918106512 662.0847918106512 662.0847918106512 662.0847918106512 662.0847918106512
0.893375 1.0 0.001 -3.6666666666666665 297.10086168339353 295.4979681990229 669.390296657338 669.390296657338 669.390296657338 669.390296657338 669.390296657338 669.390296657338
