# mach l_inj l_dis alpha cost cost_sigma sigma_0 sigma_1 sigma_2 sigma_3 sigma_4
0.230375 1.0 0.001 -3.6666666666666665 28.201485253711077 10.068892057729395 175.78324523372584 175.78324523372584 175.78324523372584 175.78324523372584 175.78324523372584
0.240125 1.0 0.001 -3.6666666666666665 24.544881427418474 8.02282326215532 183.2227965783979 183.2227965783979 183.2227965783979 183.2227965783979 183.2227965783979
0.24987499999999999 1.0 0.001 -3.6666666666666665 21.412050001200555 6.664677227913632 190.66234792306994 190.66234792306994 190.66234792306994 190.66234792306994 190.66234792306994
0.259625 1.0 0.001 -3.6666666666666665 18.717845221567494 5.947984825537744 198.101899267742 198.101899267742 198.101899267742 198.101899267742 198.101899267742
0.26937500000000003 1.0 0.001 -3.6666666666666665 16.39272626812963 5.827143831482284 205.5414506124141 205.5414506124141 205.5414506124141 205.5414506124141 205.5414506124141
0.27912499999999996 1.0 0.001 -3.6666666666666665 14.379620336859597 6.2577352639781205 212.98100195708614 212.98100195708614 212.98100195708614 212.98100195708614 212.98100195708614
0.288875 1.0 0.001 -3.6666666666666665 12.631453444767754 7.196778345551849 220.42055330175822 220.42055330175822 220.42055330175822 220.42055330175822 220.42055330175822
0.29862500000000003 1.0 0.001 -3.6666666666666665 11.109204159491533 8.602929605280917 227.8601046464303 227.8601046464303 227.8601046464303 227.8601046464303 227.8601046464303
0.30837499999999995 1.0 0.001 -3.6666666666666665 9.780365905941498 10.436631928211453 235.2996559911023 235.2996559911023 235.2996559911023 235.2996559911023 235.2996559911023
0.318125 1.0 0.001 -3.6666666666666665 8.617728304457017 12.660219418591021 242.73920733577438 242.73920733577438 242.73920733577438 242.73920733577438 242.73920733577438
0.327875 1.0 0.001 -3.6666666666666665 7.59840778535353 15.237983819832113 250.17875868044655 250.17875868044655 250.17875868044655 250.17875868044655 250.17875868044655
0.33762499999999995 1.0 0.001 -3.6666666666666665 6.70307330273018 18.136207974370265 257.6183100251185 257.6183100251185 257.6183100251185 257.6183100251185 257.6183100251185
0.347375 1.0 0.001 -3.6666666666666665 5.915325122835682 21.323171451584216 265.0578613697906 265.0578613697906 265.0578613697906 265.0578613697906 265.0578613697906
0.357125 1.0 0.001 -3.6666666666666665 5.22119408756916 24.769133055987314 272.4974127144627 272.4974127144627 272.4974127144627 272.4974127144627 272.4974127144627
0.36687499999999995 1.0 0.001 -3.6666666666666665 4.608736038209602 28.446294478928614 279.93696405913477 279.93696405913477 279.93696405913477 279.93696405913477 279.93696405913477
0.376625 1.0 0.001 -3.6666666666666665 4.067701704306592 32.32874889709781 287.37651540380676 287.37651540380676 287.37651540380676 287.37651540380676 287.37651540380676
0.386375 1.0 0.001 -3.6666666666666665 3.589266696084376 36.39241786701018 294.81606674847893 294.81606674847893 294.81606674847893 294.81606674847893 294.81606674847893
0.39612499999999995 1.0 0.001 -3.6666666666666665 3.1658095819346257 40.61497942859551 302.2556180931509 302.2556180931509 302.2556180931509 302.2556180931509 302.2556180931509
0.405875 1.0 0.001 -3.6666666666666665 2.790728615324925 44.97578992148167 309.6951694378229 309.6951694378229 309.6951694378229 309.6951694378229 309.6951694378229
0.415625 1.0 0.001 -3.6666666666666665 2.458289674713355 49.45580163987465 317.13472078249504 317.13472078249504 317.13472078249504 317.13472078249504 317.13472078249504
0.42537499999999995 1.0 0.001 -3.6666666666666665 2.1634995316005465 54.037478108999764 324.57427212716703 324.57427212716703 324.57427212716703 324.57427212716703 324.57427212716703
0.435125 1.0 0.001 -3.6666666666666665 1.901999769545708 58.704708458861404 332.0138234718392 332.0138234718392 332.0138234718392 332.0138234718392 332.0138234718392
0.444875 1.0 0.001 -3.6666666666666665 1.6699776201922532 63.44272209920578 339.4533748165113 339.4533748165113 339.4533748165113 339.4533748165113 339.4533748165113
0.45462499999999995 1.0 0.001 -3.6666666666666665 1.4640907217179386 68.23800466162903 346.8929261611833 346.8929261611833 346.8929261611833 346.8929261611833 346.8929261611833
0.464375 1.0 0.001 -3.6666666666666665 1.281403386974839 73.07821596867518 354.33247750585537 354.33247750585537 354.33247750585537 354.33247750585537 354.33247750585537
0.474125 1.0 0.001 -3.6666666666666665 1.119332428360771 77.95211061303621 361.7720288505275 361.7720288505275 361.7720288505275 361.7720288505275 361.7720288505275
0.48387499999999994 1.0 0.001 -3.6666666666666665 0.97560095132915 82.84946157988986 369.2115801951994 369.2115801951994 369.2115801951994 369.2115801951994 369.2115801951994
0.493625 1.0 0.001 -3.6666666666666665 0.8481988192583818 87.7609872192253 376.6511315398715 376.6511315398715 376.6511315398715 376.6511315398715 376.6511315398715
0.503375 1.0 0.001 -3.6666666666666665 0.7353487252241413 92.67828176998773 384.09068288454375 384.09068288454375 384.09068288454375 384.09068288454375 384.09068288454375
0.513125 1.0 0.001 -3.6666666666666665 0.635476993446652 97.59374955142582 391.53023422921575 391.53023422921575 391.53023422921575 391.53023422921575 391.53023422921575
0.522875 1.0 0.001 -3.6666666666666665 0.5471883844228138 102.50054286671003 398.9697855738878 398.9697855738878 398.9697855738878 398.9697855738878 398.9697855738878
0.532625 1.0 0.001 -3.6666666666666665 0.46924430046068905 107.39250360746517 406.4093369185598 406.4093369185598 406.4093369185598 406.4093369185598 406.4093369185598
0.542375 1.0 0.001 -3.6666666666666665 0.4005438883300399 112.26410850332431 413.84888826323186 413.84888826323186 413.84888826323186 413.84888826323186 413.84888826323186
0.552125 1.0 0.001 -3.6666666666666665 0.3401076175812332 117.11041792611854 421.28843960790397 421.28843960790397 421.28843960790397 421.28843960790397 421.28843960790397
0.5618750000000001 1.0 0.001 -3.6666666666666665 0.28706298034432143 121.92702813229441 428.72799095257614 428.72799095257614 428.72799095257614 428.72799095257614 428.72799095257614
