# k bin_0 bin_1
2.9250000000000003 2.02674340521063e-09 0.00015686375380112046
2.975 1.794625343463969e-09 0.00013724990398715853
3.0250000000000004 1.5872965119746016e-09 0.00011995639620021882
3.075 1.402386286996469e-09 0.00010473040090621152
3.125 1.237707130840301e-09 9.134303110530358e-05
3.1750000000000003 1.091247735630355e-09 7.958769759977539e-05
3.225 9.611649910828083e-10 6.927845926894512e-05
3.2750000000000004 8.457751419172957e-10 6.0248398019990904e-05
3.325 7.435444385677657e-10 5.2348041024758305e-05
3.375 6.530795302906066e-10 4.544384693374169e-05
3.4250000000000003 5.731178021507935e-10 3.941676784734433e-05
3.475 5.025178161506569e-10 3.416089479558584e-05
3.5250000000000004 4.4024998143888473e-10 2.9582191213388458e-05
3.575 3.853875484716754e-10 2.5597316291743873e-05
3.625 3.370979966885915e-10 2.2132538037879506e-05
3.6750000000000003 2.94634864144811e-10 1.9122734302675757e-05
3.725 2.5733005010532635e-10 1.6510478853658243e-05
3.7750000000000004 2.2458660738040897e-10 1.4245208719033988e-05
3.825 1.9587202973991217e-10 1.2282468443441234e-05
3.875 1.7071203067537285e-10 1.0583226528470188e-05
3.9250000000000003 1.4868480274090843e-10 9.113259137100896e-06
3.975 1.294157413745183e-10 7.842596084121767e-06
4.025 1.1257261320300863e-10 6.745024183336546e-06
4.075 9.786114611890048e-11 5.797643151091516e-06
4.125 8.50210166765448e-11 4.980469453002932e-06
4.175000000000001 7.382220940071904e-11 4.276083709265248e-06
4.225 6.406172227835586e-11 3.6693175294256172e-06
4.275 5.55605928765369e-11 3.146975918706493e-06
4.325 4.816122008689328e-11 2.6975916759192025e-06
4.375 4.1724957340215636e-11 2.3112084808160407e-06
4.425000000000001 3.612995418978248e-11 1.979189641118308e-06
4.475 3.126922435948919e-11 1.6940497325460061e-06
4.525 2.7048919643073992e-11 1.4493066161948783e-06
4.575 2.3386790379998584e-11 1.2393515546974073e-06
4.625 2.0210814587106037e-11 1.0593353706275177e-06
4.675000000000001 1.745797916907678e-11 9.050687969982415e-07
4.725 1.507319794171423e-11 7.729353603333077e-07
4.775 1.3008352467720691e-11 6.598153118816948e-07
4.825000000000001 1.1221442912189303e-11 5.630192825536582e-07
4.875 9.675837268405189e-12 4.802304827319358e-07
4.925000000000001 8.33960837867206e-12 4.0945440002103874e-07
